Using Scylla optimized driver!!!
Configuration
Nodes:				18.133.174.82,13.134.144.48,3.9.75.51
Datacenter:			AWS_EU_WEST_2
Mode:				write
Workload:			uniform
Timeout (default):		PT10S
Timeout (read):			PT10S
Timeout (write):		PT5S
Timeout (CAS):			PT2S
Consistency level:		quorum
Partition count:		10000
Clustering rows:		50
Clustering row size:		fixed:4
Rows per request:		40
Page size:			1000
Concurrency:			1200
Connections:			16
Maximum rate:			unlimited
Client compression:		true
Max error/row:			unlimited
Max errors total:		unlimited
Retries (number):		10
Retries (interval):		80ms,1s
Retry handler:			sb
Hdr memory consumption:	434995200 bytes
08:54:55.988 [s0-admin-0] WARN  c.d.o.d.i.c.c.CqlRequestHandler - Query '[0 values] CREATE KEYSPACE IF NOT EXISTS scylla_bench WITH REPLICATION = { 'class':'NetworkTopologyStrategy','replication_factor':1 }' generated server side warning(s): Using Replication Factor replication_factor=1 lower than the minimum_replication_factor_warn_threshold=3 is not recommended.
    time   ops/s  rows/s errors max      99.9th   99th     95th     90th     median   mean    
      3s     864   34587      0 1.38s    1.38s    1.37s    1.31s    1.17s    881.33ms 932.93ms
      4s    1969   78774      0 609.22ms 567.80ms 546.83ms 511.71ms 479.72ms 368.31ms 375.88ms
      4s    2411   96451      0 903.35ms 790.10ms 734.00ms 676.33ms 612.37ms 394.53ms 430.11ms
      6s    1700   68002      0 1.64s    1.63s    1.53s    1.38s    1.02s    508.82ms 621.59ms
      8s     941   37672      0 2.72s    2.72s    2.51s    2.20s    1.37s    729.28ms 908.91ms
      9s    1040   41619      0 2.09s    2.08s    1.35s    1.08s    1.01s    748.68ms 770.56ms
     10s     831   33261      0 1.85s    1.85s    1.72s    1.08s    993.00ms 745.01ms 776.16ms
     11s    1228   49133      0 1.96s    1.96s    1.35s    883.95ms 782.24ms 606.08ms 634.13ms
     11s    1300   52035      0 1.05s    1.03s    918.03ms 807.93ms 747.63ms 590.87ms 590.14ms
     12s    1404   56193      0 839.39ms 812.65ms 766.51ms 700.97ms 657.46ms 534.51ms 543.15ms
     12s    2179   87172      0 843.06ms 816.32ms 636.49ms 566.23ms 527.96ms 414.71ms 419.94ms
     14s    1685   67406      0 1.39s    1.36s    1.25s    1.11s    1.03s    571.47ms 636.52ms
     15s     810   32409      0 1.50s    1.47s    1.44s    1.36s    1.30s    999.29ms 1.04s   
     15s     836   33443      0 1.38s    1.35s    1.25s    1.18s    1.09s    895.48ms 876.24ms
     16s    1638   65557      0 933.23ms 928.51ms 696.25ms 603.98ms 567.80ms 468.71ms 454.17ms
     17s    2268   90734      0 752.35ms 709.89ms 628.10ms 546.83ms 493.88ms 428.34ms 419.85ms
     18s    2690  107602      0 676.33ms 653.26ms 541.59ms 474.74ms 441.71ms 339.21ms 352.68ms
     19s    2792  111709      0 657.46ms 623.90ms 533.20ms 470.29ms 439.09ms 339.48ms 351.89ms
     20s    2772  110903      0 653.79ms 601.88ms 543.16ms 476.58ms 443.55ms 350.22ms 361.02ms
     21s    2818  112720      0 872.94ms 801.11ms 649.59ms 477.89ms 427.82ms 335.54ms 353.37ms
     22s    1610   64408      0 1.03s    1.03s    949.49ms 857.21ms 801.64ms 647.50ms 647.13ms
     23s    1013   40559      0 1.26s    1.23s    1.13s    1.07s    1.02s    849.87ms 838.03ms
     24s    1066   42658      0 1.24s    1.20s    1.17s    1.11s    1.06s    804.26ms 847.73ms
     25s    1417   56705      0 945.82ms 873.99ms 867.17ms 804.78ms 753.93ms 482.61ms 522.23ms
     26s    2434   97360      0 918.55ms 882.38ms 777.52ms 665.32ms 612.37ms 364.12ms 410.49ms
     27s    1192   47701      0 1.15s    1.15s    1.07s    969.41ms 947.39ms 770.18ms 757.64ms
     28s    1083   43333      0 1.22s    1.17s    1.13s    1.06s    1.03s    794.30ms 815.66ms
     29s     978   39158      0 1.17s    1.15s    1.08s    1.02s    998.77ms 783.29ms 808.85ms
     30s    1016   40659      0 1.19s    1.17s    1.05s    1.02s    997.20ms 811.07ms 819.20ms
     31s    1164   46594      0 1.17s    1.17s    1.04s    997.20ms 972.55ms 770.18ms 770.95ms
     32s     971   38864      0 1.21s    1.11s    1.07s    1.01s    985.66ms 800.59ms 785.66ms
     33s    1537   61510      0 942.15ms 931.66ms 883.43ms 843.06ms 819.46ms 428.87ms 509.75ms
     34s    2852  114093      0 579.86ms 557.32ms 487.33ms 439.62ms 409.21ms 337.12ms 345.48ms
     35s    2705  108200      0 685.77ms 639.11ms 538.97ms 491.52ms 466.09ms 359.40ms 372.40ms
     36s    3031  121251      0 568.33ms 555.75ms 519.05ms 459.01ms 423.89ms 338.95ms 349.24ms
     37s    2412   96485      0 823.13ms 812.65ms 722.99ms 648.02ms 589.82ms 404.23ms 438.57ms
     38s    2168   86728      0 1.05s    1.02s    930.09ms 788.00ms 698.35ms 393.22ms 451.94ms
     39s    1169   46785      0 1.22s    1.20s    1.06s    999.82ms 968.36ms 788.00ms 789.35ms
     40s     972   38917      0 1.16s    1.15s    1.06s    1.03s    1.00s    751.30ms 795.46ms
     41s    2005   80221      0 817.89ms 758.64ms 678.43ms 597.16ms 564.13ms 400.29ms 422.22ms
     42s    2912  116498      0 545.78ms 542.64ms 499.12ms 454.56ms 429.39ms 328.73ms 344.25ms
     43s    2794  111763      0 621.81ms 612.37ms 519.83ms 470.55ms 443.55ms 344.98ms 358.03ms
     44s    2906  116271      0 634.91ms 603.46ms 536.87ms 464.26ms 433.06ms 352.85ms 360.62ms
     45s    2839  113580      0 593.49ms 571.47ms 533.73ms 459.28ms 426.25ms 340.26ms 350.58ms
     46s    2371   94872      0 902.82ms 891.81ms 820.51ms 731.38ms 670.56ms 389.28ms 438.90ms
     47s    1210   48426      0 1.11s    1.11s    1.07s    900.20ms 870.84ms 768.61ms 745.87ms
     48s    1350   54026      0 905.45ms 905.45ms 871.37ms 752.88ms 719.85ms 563.61ms 580.31ms
     49s    2760  110400      0 582.48ms 560.99ms 526.39ms 461.64ms 429.13ms 351.27ms 357.41ms
     50s    2893  115727      0 581.44ms 561.51ms 511.44ms 461.64ms 428.87ms 342.10ms 352.98ms
     51s    2936  117457      0 615.51ms 570.95ms 515.11ms 465.31ms 421.53ms 332.40ms 345.98ms
     52s    2279   91164      0 1.04s    1.02s    893.91ms 761.79ms 685.24ms 392.43ms 456.22ms
     53s    1233   49355      0 1.03s    1.03s    991.95ms 862.98ms 823.13ms 680.53ms 646.61ms
     54s    2959  118383      0 655.36ms 611.32ms 533.73ms 466.88ms 439.88ms 343.41ms 356.69ms
     55s    2153   86142      0 1.11s    1.07s    894.44ms 794.30ms 686.29ms 411.30ms 463.40ms
     57s    1166   46666      0 1.23s    1.23s    1.09s    1.04s    1.01s    794.30ms 789.36ms
     57s     981   39258      0 1.16s    1.13s    1.08s    1.04s    1.02s    813.17ms 822.60ms
     58s    1559   62394      0 891.81ms 891.29ms 812.12ms 782.24ms 741.87ms 524.55ms 538.52ms
     59s    2784  111371      0 643.30ms 616.56ms 555.75ms 495.45ms 464.78ms 353.63ms 367.57ms
     60s    2703  108129      0 609.75ms 582.48ms 519.05ms 464.26ms 438.83ms 351.54ms 361.30ms
     61s    2720  108801      0 661.65ms 574.10ms 511.44ms 467.40ms 434.37ms 352.32ms 359.66ms
     62s    2916  116653      0 598.74ms 586.15ms 543.16ms 469.76ms 430.44ms 343.93ms 352.84ms
     63s    2852  114110      0 571.47ms 556.27ms 515.11ms 459.80ms 432.28ms 352.58ms 361.00ms
     64s    2885  115424      0 571.47ms 548.93ms 496.50ms 445.38ms 416.81ms 335.28ms 344.56ms
     65s    2470   98807      0 1.04s    955.25ms 840.96ms 700.45ms 626.00ms 385.61ms 428.56ms
     66s    1642   65693      0 1.10s    1.06s    859.31ms 784.86ms 735.05ms 540.02ms 549.82ms
     67s    2501  100076      0 697.30ms 662.70ms 634.91ms 532.41ms 495.98ms 355.47ms 378.54ms
     68s    2615  104633      0 596.12ms 574.10ms 513.54ms 472.12ms 439.88ms 357.04ms 363.78ms
     69s    2486   99441      0 795.34ms 738.72ms 672.14ms 574.62ms 551.55ms 384.83ms 409.33ms
     70s    2359   94365      0 664.27ms 633.34ms 569.38ms 501.74ms 475.00ms 387.71ms 393.77ms
     71s    1853   74128      0 1.10s    1.10s    1.02s    890.77ms 807.40ms 522.72ms 551.02ms
     72s    1382   55296      0 1.01s    976.22ms 923.80ms 873.46ms 852.49ms 543.69ms 573.20ms
     73s    2591  103678      0 703.59ms 631.77ms 558.89ms 502.79ms 461.11ms 385.35ms 386.53ms
     74s    2096   83872      0 1.04s    1.03s    961.54ms 865.08ms 808.98ms 428.08ms 499.76ms
     76s    1050   42005      0 1.35s    1.35s    1.17s    1.08s    1.00s    818.41ms 799.37ms
     77s     940   37607      0 1.21s    1.19s    1.16s    1.13s    1.10s    857.74ms 897.27ms
     77s    1064   42577      0 1.27s    1.26s    1.22s    1.16s    1.12s    820.51ms 866.02ms
     78s    1639   65560      0 862.45ms 857.21ms 836.24ms 786.43ms 764.94ms 368.31ms 436.00ms
     79s    2937  117505      0 583.01ms 525.86ms 492.04ms 444.86ms 414.19ms 337.12ms 345.82ms
     80s    2950  118023      0 557.32ms 543.69ms 493.62ms 445.38ms 416.28ms 333.19ms 342.54ms
     81s    2970  118807      0 580.39ms 553.65ms 514.06ms 455.08ms 425.98ms 335.81ms 348.19ms
     82s    2964  118589      0 551.55ms 540.54ms 497.03ms 448.00ms 414.97ms 328.47ms 341.12ms
     83s    3013  120523      0 596.12ms 565.71ms 505.15ms 449.58ms 410.26ms 332.14ms 342.55ms
     84s    2999  119976      0 549.98ms 536.61ms 494.40ms 439.09ms 409.21ms 326.11ms 338.42ms
     85s    3006  120275      0 594.54ms 538.97ms 488.11ms 431.49ms 403.96ms 330.56ms 338.77ms
     86s    2512  100504      0 842.01ms 800.59ms 700.45ms 568.33ms 516.16ms 389.28ms 404.25ms
     87s    2070   82822      0 811.60ms 789.58ms 670.04ms 604.50ms 567.28ms 438.04ms 444.51ms
