Using Scylla optimized driver!!!
Configuration
Nodes:				18.133.174.82,13.134.144.48,3.9.75.51
Datacenter:			AWS_EU_WEST_2
Mode:				write
Workload:			uniform
Timeout (default):		PT10S
Timeout (read):			PT10S
Timeout (write):		PT5S
Timeout (CAS):			PT2S
Consistency level:		quorum
Partition count:		10000
Clustering rows:		50
Clustering row size:		fixed:4
Rows per request:		40
Page size:			1000
Concurrency:			1200
Connections:			16
Maximum rate:			unlimited
Client compression:		true
Max error/row:			unlimited
Max errors total:		unlimited
Retries (number):		10
Retries (interval):		80ms,1s
Retry handler:			sb
Hdr memory consumption:	434995200 bytes
08:54:56.378 [s0-admin-0] WARN  c.d.o.d.i.c.c.CqlRequestHandler - Query '[0 values] CREATE KEYSPACE IF NOT EXISTS scylla_bench WITH REPLICATION = { 'class':'NetworkTopologyStrategy','replication_factor':1 }' generated server side warning(s): Using Replication Factor replication_factor=1 lower than the minimum_replication_factor_warn_threshold=3 is not recommended.
    time   ops/s  rows/s errors max      99.9th   99th     95th     90th     median   mean    
      3s    1108   44344      0 1.15s    1.14s    1.13s    1.11s    1.09s    791.67ms 848.96ms
      3s    2984  119376      0 630.72ms 617.61ms 518.00ms 460.59ms 433.32ms 344.46ms 355.59ms
      5s    2335   93428      0 1.21s    1.01s    643.30ms 560.99ms 525.60ms 419.17ms 428.80ms
      5s    1576   63070      0 1.07s    1.04s    993.00ms 874.51ms 835.19ms 631.24ms 621.41ms
      6s    1860   74422      0 1.37s    1.15s    1.05s    943.72ms 828.90ms 495.45ms 546.76ms
      8s    1185   47430      0 1.37s    1.27s    1.14s    1.01s    956.83ms 731.38ms 760.95ms
      9s     937   37512      0 1.84s    1.83s    1.77s    1.52s    1.13s    784.33ms 862.66ms
     10s    1164   46585      0 1.06s    997.72ms 886.57ms 791.67ms 737.67ms 590.87ms 596.30ms
     10s    1422   56886      0 1.13s    1.12s    935.85ms 867.70ms 800.06ms 650.12ms 643.16ms
     11s    1859   74362      0 831.00ms 786.96ms 720.90ms 658.51ms 597.69ms 498.07ms 494.46ms
     13s    2332   93298      0 1.28s    1.20s    887.62ms 685.24ms 572.52ms 418.91ms 436.44ms
     14s     975   39017      0 1.51s    1.49s    1.43s    1.32s    1.25s    946.86ms 947.31ms
     15s     779   31191      0 1.48s    1.48s    1.42s    1.34s    1.26s    990.38ms 1.03s   
     15s     948   37920      0 1.15s    1.13s    1.09s    1.01s    949.49ms 677.90ms 677.29ms
     16s    2030   81239      0 819.99ms 794.82ms 662.70ms 611.84ms 564.66ms 452.20ms 445.13ms
     17s    2632  105308      0 677.90ms 663.22ms 521.40ms 476.58ms 459.54ms 378.01ms 381.25ms
     18s    2820  112800      0 641.73ms 583.01ms 513.80ms 450.10ms 419.69ms 343.93ms 352.45ms
     19s    2954  118199      0 577.77ms 563.61ms 506.46ms 454.30ms 425.72ms 340.53ms 350.70ms
     20s    2658  106349      0 655.88ms 624.43ms 529.79ms 469.50ms 446.69ms 351.27ms 365.15ms
     21s    2397   95887      0 951.58ms 905.97ms 793.77ms 690.49ms 628.10ms 380.11ms 429.01ms
     22s    1213   48553      0 1.18s    1.17s    1.02s    922.22ms 888.14ms 745.54ms 752.77ms
     24s    1073   42954      0 1.29s    1.29s    1.15s    1.10s    1.05s    791.15ms 828.93ms
     24s     940   37630      0 1.23s    1.19s    1.18s    1.10s    1.01s    791.15ms 808.70ms
     25s    2048   81952      0 775.42ms 731.91ms 661.65ms 567.80ms 521.14ms 392.95ms 407.49ms
     26s    2000   80015      0 1.09s    1.08s    969.93ms 814.74ms 730.86ms 493.62ms 505.17ms
     27s    1178   47145      0 1.18s    1.16s    1.07s    999.29ms 966.26ms 779.09ms 780.24ms
     28s     934   37373      0 1.26s    1.25s    1.15s    1.08s    1.05s    836.76ms 861.54ms
     29s    1059   42392      0 1.17s    1.15s    1.07s    1.01s    984.61ms 785.38ms 797.89ms
     30s    1095   43801      0 1.15s    1.13s    1.06s    1.03s    980.94ms 735.58ms 777.11ms
     31s    1092   43689      0 1.22s    1.20s    1.10s    1.01s    988.28ms 869.27ms 822.32ms
     32s    1172   46893      0 1.20s    1.17s    1.08s    997.20ms 967.84ms 772.80ms 768.76ms
     33s    1960   78413      0 672.14ms 659.55ms 631.77ms 502.27ms 459.01ms 367.00ms 375.20ms
     34s    2873  114929      0 618.66ms 578.29ms 497.55ms 449.58ms 414.71ms 329.78ms 342.41ms
