Using Scylla optimized driver!!!
Configuration
Nodes:				18.133.174.82,13.134.144.48,3.9.75.51
Datacenter:			AWS_EU_WEST_2
Mode:				write
Workload:			uniform
Timeout (default):		PT10S
Timeout (read):			PT10S
Timeout (write):		PT5S
Timeout (CAS):			PT2S
Consistency level:		quorum
Partition count:		10000
Clustering rows:		50
Clustering row size:		fixed:4
Rows per request:		40
Page size:			1000
Concurrency:			1200
Connections:			16
Maximum rate:			unlimited
Client compression:		true
Max error/row:			unlimited
Max errors total:		unlimited
Retries (number):		10
Retries (interval):		80ms,1s
Retry handler:			sb
Hdr memory consumption:	434995200 bytes
08:54:56.582 [s0-admin-0] WARN  c.d.o.d.i.c.c.CqlRequestHandler - Query '[0 values] CREATE KEYSPACE IF NOT EXISTS scylla_bench WITH REPLICATION = { 'class':'NetworkTopologyStrategy','replication_factor':1 }' generated server side warning(s): Using Replication Factor replication_factor=1 lower than the minimum_replication_factor_warn_threshold=3 is not recommended.
    time   ops/s  rows/s errors max      99.9th   99th     95th     90th     median   mean    
      3s     635   25410      0 2.22s    2.17s    2.13s    2.06s    1.90s    440.66ms 764.24ms
      4s    1095   43819      0 1.07s    1.05s    848.82ms 669.52ms 548.93ms 417.86ms 441.93ms
      6s    1411   56465      0 1.56s    1.43s    972.55ms 871.89ms 820.51ms 489.95ms 556.36ms
      7s    1186   47464      0 1.67s    1.66s    1.59s    1.42s    1.30s    504.10ms 635.12ms
      8s     977   39103      0 1.70s    1.67s    1.46s    1.32s    1.21s    897.58ms 903.12ms
      9s     869   34795      0 2.07s    2.07s    1.78s    1.32s    1.17s    834.14ms 890.62ms
      9s     923   36947      0 1.84s    1.82s    1.72s    1.42s    1.23s    762.84ms 822.79ms
     10s    1317   52705      0 953.16ms 951.58ms 891.29ms 799.54ms 747.63ms 583.01ms 593.13ms
     10s    1426   57050      0 944.77ms 930.09ms 880.28ms 806.88ms 750.26ms 603.46ms 612.59ms
     11s    2104   84179      0 842.01ms 787.48ms 697.83ms 601.88ms 577.24ms 435.42ms 444.40ms
     12s    1883   75354      0 1.27s    1.23s    1.13s    988.28ms 882.38ms 471.86ms 543.19ms
     14s     857   34297      0 1.50s    1.50s    1.45s    1.35s    1.30s    997.20ms 1.03s   
     14s     779   31176      0 1.40s    1.39s    1.36s    1.24s    1.12s    924.32ms 942.52ms
     15s    1303   52146      0 924.84ms 898.11ms 849.35ms 741.34ms 656.41ms 437.78ms 456.75ms
     16s    2162   86505      0 834.14ms 831.00ms 646.45ms 593.49ms 554.70ms 436.73ms 437.94ms
     17s    2848  113957      0 587.73ms 546.31ms 516.42ms 474.48ms 455.61ms 349.96ms 365.92ms
     18s    2906  116242      0 595.07ms 584.58ms 516.16ms 450.89ms 420.22ms 332.14ms 344.98ms
     19s    2861  114452      0 637.53ms 606.08ms 535.04ms 461.11ms 435.68ms 344.46ms 354.40ms
     20s    2810  112433      0 597.69ms 581.44ms 532.41ms 471.86ms 437.52ms 341.31ms 356.32ms
     21s    1929   77176      0 986.19ms 970.46ms 903.35ms 792.72ms 741.87ms 548.41ms 545.09ms
     23s    1144   45782      0 1.22s    1.22s    1.09s    994.05ms 950.01ms 784.33ms 770.92ms
     24s     973   38938      0 1.24s    1.22s    1.18s    1.13s    1.10s    803.21ms 860.00ms
     24s    1147   45911      0 1.15s    1.13s    1.12s    955.25ms 873.99ms 724.04ms 679.24ms
     25s    2638  105543      0 760.74ms 745.01ms 630.19ms 484.18ms 453.51ms 359.92ms 371.06ms
     26s    1525   61021      0 1.15s    1.09s    1.02s    939.00ms 878.18ms 649.07ms 674.80ms
     27s     968   38746      0 1.15s    1.14s    1.10s    1.06s    1.03s    842.53ms 823.96ms
     28s    1070   42831      0 1.12s    1.12s    1.09s    1.03s    1.00s    803.21ms 822.06ms
     29s    1027   41104      0 1.17s    1.17s    1.08s    1.03s    1.01s    768.61ms 809.70ms
     31s    1030   41207      0 1.19s    1.18s    1.10s    983.56ms 952.63ms 774.37ms 773.14ms
     32s    1119   44778      0 1.17s    1.17s    1.03s    997.20ms 980.42ms 722.99ms 772.44ms
     32s    1112   44491      0 1.15s    1.12s    1.05s    980.42ms 947.39ms 724.04ms 724.65ms
     33s    2780  111206      0 576.19ms 555.22ms 498.60ms 451.94ms 425.46ms 345.24ms 355.49ms
     34s    2778  111149      0 636.49ms 631.77ms 535.56ms 488.11ms 463.73ms 346.55ms 363.61ms
     35s    2712  108507      0 569.38ms 560.46ms 527.17ms 455.87ms 424.94ms 341.05ms 352.17ms
