Using Scylla optimized driver!!!
Configuration
Nodes:				18.133.174.82,13.134.144.48,3.9.75.51
Datacenter:			AWS_EU_WEST_2
Mode:				write
Workload:			uniform
Timeout (default):		PT10S
Timeout (read):			PT10S
Timeout (write):		PT5S
Timeout (CAS):			PT2S
Consistency level:		quorum
Partition count:		10000
Clustering rows:		50
Clustering row size:		fixed:4
Rows per request:		40
Page size:			1000
Concurrency:			1200
Connections:			16
Maximum rate:			unlimited
Client compression:		true
Max error/row:			unlimited
Max errors total:		unlimited
Retries (number):		10
Retries (interval):		80ms,1s
Retry handler:			sb
Hdr memory consumption:	434995200 bytes
08:54:56.531 [s0-admin-0] WARN  c.d.o.d.i.c.c.CqlRequestHandler - Query '[0 values] CREATE KEYSPACE IF NOT EXISTS scylla_bench WITH REPLICATION = { 'class':'NetworkTopologyStrategy','replication_factor':1 }' generated server side warning(s): Using Replication Factor replication_factor=1 lower than the minimum_replication_factor_warn_threshold=3 is not recommended.
    time   ops/s  rows/s errors max      99.9th   99th     95th     90th     median   mean    
      3s     688   27540      0 1.11s    1.10s    1.02s    900.73ms 888.67ms 752.88ms 700.23ms
      4s    1127   45090      0 763.89ms 733.48ms 673.19ms 610.27ms 568.33ms 425.46ms 443.29ms
      6s    1550   62003      0 2.35s    2.32s    2.19s    1.46s    929.04ms 529.27ms 655.82ms
      7s     793   31757      0 2.21s    2.02s    1.77s    1.59s    1.45s    883.43ms 964.63ms
      9s     830   33202      0 1.96s    1.95s    1.72s    1.46s    1.36s    873.46ms 949.71ms
      9s     778   31128      0 2.10s    2.02s    1.59s    1.14s    998.24ms 776.47ms 807.51ms
     10s     892   35686      0 2.10s    2.10s    2.01s    1.19s    957.35ms 699.40ms 735.71ms
     10s    1361   54447      0 1.07s    1.04s    892.34ms 808.45ms 743.44ms 617.09ms 609.35ms
     11s    1377   55113      0 925.89ms 925.37ms 890.77ms 715.65ms 678.95ms 544.21ms 561.52ms
     11s    2062   82486      0 909.12ms 867.17ms 735.58ms 630.19ms 593.49ms 457.44ms 458.14ms
     13s    1555   62212      0 1.43s    1.39s    1.22s    1.08s    1.02s    587.73ms 644.96ms
     14s     770   30830      0 1.46s    1.46s    1.44s    1.35s    1.31s    1.01s    1.06s   
     14s     795   31837      0 1.43s    1.40s    1.32s    1.20s    1.11s    901.78ms 909.91ms
     15s    1505   60229      0 903.87ms 879.76ms 725.09ms 647.50ms 607.13ms 457.44ms 449.24ms
     16s    2161   86455      0 700.45ms 695.21ms 602.41ms 514.33ms 487.06ms 433.32ms 420.88ms
     17s    2572  102909      0 758.12ms 577.77ms 520.09ms 469.24ms 433.85ms 348.13ms 357.70ms
     18s    2897  115916      0 636.49ms 595.07ms 524.81ms 462.95ms 428.87ms 335.02ms 348.88ms
     19s    2803  112129      0 671.09ms 641.73ms 568.33ms 477.10ms 443.81ms 343.93ms 359.92ms
     20s    2817  112687      0 792.72ms 715.13ms 521.40ms 462.16ms 424.94ms 333.45ms 348.80ms
     22s    1720   68836      0 1.05s    1.02s    922.22ms 826.80ms 772.28ms 628.62ms 612.82ms
     23s    1052   42116      0 1.21s    1.21s    1.10s    1.04s    994.57ms 818.41ms 804.18ms
     24s    1031   41248      0 1.23s    1.21s    1.17s    1.13s    1.09s    806.35ms 855.90ms
     24s    1306   52277      0 980.94ms 979.89ms 952.63ms 869.79ms 810.02ms 519.05ms 575.49ms
     25s    2551  102051      0 880.28ms 862.98ms 741.34ms 616.56ms 536.35ms 360.71ms 389.08ms
     27s    1351   54066      0 1.15s    1.15s    1.04s    959.45ms 922.75ms 684.72ms 710.34ms
     28s    1098   43951      0 1.16s    1.16s    1.10s    1.04s    1.00s    775.95ms 796.10ms
     29s    1049   41970      0 1.18s    1.17s    1.12s    1.02s    995.10ms 788.53ms 799.97ms
     30s     972   38882      0 1.23s    1.22s    1.08s    1.04s    1.02s    828.38ms 828.82ms
     31s    1107   44294      0 1.22s    1.21s    1.02s    987.76ms 970.98ms 788.53ms 779.94ms
     32s     957   38309      0 1.20s    1.18s    1.10s    996.15ms 979.37ms 790.63ms 779.86ms
     32s    1200   48019      0 1.03s    1.03s    933.76ms 892.86ms 873.99ms 662.18ms 626.57ms
     33s    2946  117872      0 659.55ms 647.50ms 506.46ms 456.65ms 424.15ms 348.39ms 357.36ms
     34s    2872  114882      0 644.35ms 627.57ms 535.82ms 494.40ms 462.42ms 347.08ms 364.58ms
     35s    2840  113621      0 599.79ms 571.47ms 514.33ms 449.05ms 422.05ms 340.00ms 351.32ms
     36s    2359   94399      0 824.18ms 813.69ms 750.26ms 654.84ms 602.41ms 398.46ms 437.61ms
     38s    2094   83781      0 1.06s    1.05s    866.65ms 737.15ms 669.52ms 386.14ms 440.24ms
     39s    1121   44866      0 1.17s    1.15s    1.04s    975.70ms 941.10ms 778.04ms 771.09ms
     40s    1099   43972      0 1.27s    1.18s    1.09s    1.03s    1.01s    769.13ms 795.76ms
     40s    1787   71483      0 756.02ms 747.11ms 693.11ms 635.96ms 602.93ms 426.25ms 446.65ms
     41s    2955  118215      0 560.46ms 544.21ms 503.32ms 444.33ms 416.55ms 337.12ms 345.29ms
     42s    2875  115034      0 626.52ms 591.92ms 518.52ms 467.40ms 441.71ms 342.10ms 357.07ms
     43s    2765  110617      0 639.11ms 600.83ms 539.49ms 464.78ms 430.44ms 351.80ms 362.11ms
     44s    2712  108491      0 632.82ms 587.20ms 518.78ms 459.01ms 423.89ms 344.46ms 353.17ms
     45s    2505  100210      0 922.75ms 846.20ms 782.76ms 688.39ms 609.75ms 368.57ms 409.93ms
     46s    1263   50525      0 1.13s    1.11s    1.05s    923.80ms 869.27ms 741.34ms 741.02ms
     47s    1323   52926      0 936.90ms 934.28ms 906.49ms 804.78ms 744.49ms 594.54ms 600.09ms
     48s    2598  103946      0 586.15ms 553.12ms 507.51ms 475.53ms 444.86ms 355.47ms 364.82ms
     49s    2818  112726      0 665.32ms 567.28ms 530.32ms 469.24ms 432.01ms 344.72ms 355.63ms
     50s    2912  116499      0 605.03ms 583.53ms 524.55ms 458.49ms 425.72ms 334.23ms 347.49ms
     52s    2491   99647      0 933.23ms 927.99ms 850.40ms 711.98ms 658.51ms 364.38ms 427.06ms
     52s    1236   49442      0 1.13s    1.10s    1.02s    866.12ms 814.74ms 667.42ms 667.46ms
     53s    2800  112017      0 630.72ms 608.70ms 547.88ms 483.13ms 450.10ms 340.26ms 357.60ms
     55s    2332   93280      0 968.36ms 945.29ms 888.14ms 750.26ms 631.77ms 379.06ms 428.88ms
     56s    1158   46330      0 1.24s    1.23s    1.12s    1.04s    1.00s    800.59ms 798.49ms
     57s     987   39512      0 1.32s    1.20s    1.11s    1.05s    1.03s    795.34ms 832.21ms
     57s    1473   58947      0 897.58ms 892.86ms 874.51ms 801.64ms 769.13ms 560.46ms 565.35ms
     58s    2638  105552      0 715.65ms 623.90ms 566.76ms 487.33ms 453.25ms 349.96ms 365.24ms
     59s    2689  107591      0 596.12ms 573.57ms 528.48ms 466.88ms 435.68ms 351.27ms 361.32ms
     60s    2795  111825      0 582.48ms 572.52ms 510.13ms 457.97ms 428.87ms 351.54ms 357.96ms
     61s    2824  112977      0 597.16ms 587.20ms 527.70ms 459.80ms 423.36ms 344.72ms 353.34ms
     62s    2819  112764      0 586.15ms 580.91ms 524.03ms 468.98ms 439.09ms 353.63ms 362.32ms
     63s    2748  109930      0 575.14ms 547.88ms 495.98ms 456.92ms 423.36ms 337.12ms 347.33ms
     64s    2529  101163      0 935.33ms 892.34ms 805.31ms 691.54ms 604.50ms 369.62ms 416.69ms
     65s    1467   58711      0 973.08ms 941.10ms 856.69ms 788.53ms 760.74ms 585.63ms 589.10ms
     66s    2680  107223      0 721.42ms 677.90ms 622.85ms 522.19ms 488.37ms 347.60ms 371.93ms
     67s    2580  103200      0 635.96ms 613.42ms 535.30ms 478.41ms 445.38ms 366.22ms 371.43ms
     68s    2520  100815      0 790.10ms 745.01ms 676.33ms 585.63ms 537.92ms 374.87ms 399.86ms
     69s    2153   86142      0 653.79ms 640.16ms 597.16ms 544.21ms 516.16ms 405.01ms 418.10ms
     71s    2255   90227      0 1.12s    1.08s    973.08ms 843.06ms 775.95ms 445.38ms 498.70ms
     71s    1175   47023      0 1.08s    1.08s    1.05s    884.47ms 857.74ms 612.37ms 636.54ms
     72s    2599  103976      0 682.62ms 644.87ms 555.22ms 502.27ms 467.93ms 390.33ms 393.04ms
     74s    2173   86950      0 1.09s    1.02s    937.43ms 831.52ms 785.91ms 388.24ms 468.81ms
     75s    1122   44882      0 1.38s    1.34s    1.19s    1.02s    963.64ms 790.10ms 779.41ms
     76s     898   35939      0 1.21s    1.19s    1.16s    1.13s    1.10s    852.49ms 896.52ms
     77s    1018   40749      0 1.37s    1.37s    1.23s    1.16s    1.12s    836.76ms 875.83ms
     77s    1523   60938      0 924.32ms 919.60ms 855.11ms 804.78ms 783.81ms 381.16ms 467.36ms
     78s    2798  111955      0 540.54ms 538.44ms 505.94ms 446.96ms 416.28ms 340.53ms 348.48ms
     79s    2974  118990      0 537.92ms 527.96ms 488.37ms 438.04ms 414.19ms 335.81ms 344.66ms
     80s    2907  116301      0 580.91ms 556.27ms 506.46ms 456.65ms 424.41ms 336.33ms 348.31ms
     81s    2961  118458      0 577.24ms 546.83ms 497.29ms 444.86ms 411.30ms 329.78ms 340.41ms
     82s    2951  118045      0 622.33ms 580.91ms 495.71ms 446.96ms 414.45ms 330.56ms 342.93ms
     83s    3010  120414      0 559.94ms 524.29ms 499.65ms 452.46ms 417.07ms 337.12ms 347.80ms
     84s    3004  120165      0 538.97ms 527.17ms 485.23ms 433.06ms 409.73ms 327.16ms 337.30ms
     85s    2733  109323      0 814.22ms 761.27ms 632.29ms 532.15ms 492.04ms 378.54ms 393.12ms
     86s    2084   83372      0 818.94ms 817.36ms 699.92ms 602.41ms 572.00ms 449.58ms 451.64ms
     88s    1987   79483      0 1.07s    1.05s    925.37ms 767.03ms 710.41ms 473.69ms 504.80ms
     89s    1058   42340      0 1.09s    1.08s    1.04s    971.51ms 908.07ms 810.55ms 791.33ms
     90s    1232   49297      0 1.10s    1.10s    1.01s    942.15ms 904.40ms 739.77ms 738.14ms
     91s    1061   42462      0 1.21s    1.21s    1.11s    1.01s    975.70ms 744.49ms 783.74ms
     91s    1405   56201      0 1.06s    1.03s    940.57ms 918.55ms 897.06ms 598.74ms 626.06ms
     92s    2733  109349      0 553.65ms 537.40ms 506.20ms 455.08ms 426.77ms 347.08ms 355.61ms
     93s    2828  113143      0 618.66ms 577.24ms 519.05ms 463.73ms 429.13ms 342.36ms 356.15ms
     94s    2848  113936      0 608.17ms 595.07ms 507.51ms 446.96ms 416.81ms 335.81ms 348.11ms
     95s    2863  114559      0 701.50ms 626.52ms 528.48ms 467.14ms 435.42ms 332.40ms 352.00ms
     96s    2640  105609      0 656.41ms 651.17ms 544.74ms 490.73ms 452.20ms 353.89ms 363.74ms
     97s    3003  120129      0 566.76ms 556.27ms 502.53ms 452.46ms 412.88ms 330.30ms 343.54ms
     99s    1999   79987      0 994.05ms 983.56ms 920.13ms 797.97ms 739.25ms 495.98ms 515.02ms
     99s    1171   46842      0 1.06s    1.05s    980.94ms 879.76ms 839.91ms 749.21ms 736.14ms
    101s    1164   46575      0 1.07s    1.07s    1.01s    923.80ms 893.39ms 789.58ms 762.41ms
    101s    1023   40940      0 1.16s    1.15s    1.05s    1.01s    973.60ms 801.64ms 785.19ms
    102s    1891   75679      0 858.26ms 856.16ms 831.52ms 731.91ms 685.77ms 392.95ms 462.06ms
    103s    2866  114666      0 557.84ms 527.70ms 486.28ms 436.99ms 409.47ms 341.84ms 348.79ms
    104s    2917  116699      0 686.82ms 573.57ms 509.61ms 451.15ms 424.41ms 337.38ms 348.04ms
    105s    2634  105373      0 989.33ms 902.30ms 779.62ms 667.42ms 578.81ms 360.19ms 404.22ms
    107s    1349   53994      0 997.20ms 997.20ms 941.62ms 845.68ms 800.59ms 686.82ms 687.13ms
    108s    1186   47472      0 1.13s    1.11s    1.03s    918.55ms 869.27ms 735.58ms 738.90ms
    109s    1180   47226      0 1.05s    1.04s    961.02ms 876.09ms 852.49ms 778.57ms 754.55ms
    109s    1747   69892      0 907.54ms 896.53ms 840.96ms 730.86ms 626.52ms 381.42ms 434.70ms
    110s    2710  108407      0 605.03ms 563.09ms 508.82ms 461.11ms 431.49ms 339.21ms 352.26ms
    112s    2421   96856      0 968.36ms 963.64ms 850.92ms 739.25ms 591.92ms 387.71ms 428.63ms
    112s    1737   69503      0 933.23ms 925.89ms 848.82ms 778.57ms 741.34ms 457.97ms 490.80ms
    113s    2746  109848      0 581.44ms 551.55ms 499.65ms 451.41ms 423.36ms 335.02ms 347.62ms
    114s    2562  102514      0 901.25ms 872.94ms 800.59ms 653.26ms 598.21ms 373.82ms 411.81ms
    115s    1663   66545      0 1.02s    993.00ms 911.21ms 781.19ms 735.58ms 533.20ms 547.36ms
    116s    2734  109362      0 638.58ms 585.11ms 530.84ms 493.09ms 455.87ms 346.03ms 362.41ms
    118s    2336   93448      0 1.00s    957.87ms 812.65ms 687.34ms 621.28ms 377.75ms 428.35ms
    118s    1782   71285      0 933.23ms 923.27ms 877.13ms 776.99ms 691.54ms 456.65ms 484.23ms
    119s    2636  105471      0 565.18ms 544.74ms 504.37ms 451.67ms 428.61ms 337.12ms 350.68ms
    120s    3022  120880      0 538.44ms 527.96ms 491.78ms 441.45ms 411.57ms 335.81ms 344.28ms
    121s    2679  107182      0 915.41ms 902.82ms 786.96ms 627.57ms 567.28ms 352.85ms 398.86ms
    122s    1704   68198      0 878.18ms 834.67ms 760.74ms 699.40ms 665.32ms 515.11ms 514.56ms
    123s    2806  112272      0 562.56ms 557.84ms 503.05ms 446.43ms 418.12ms 341.57ms 349.89ms
    124s    2985  119429      0 535.82ms 524.29ms 491.26ms 436.21ms 406.59ms 328.99ms 341.01ms
    125s    2928  117137      0 626.00ms 608.17ms 507.77ms 455.08ms 422.05ms 346.55ms 352.79ms
    127s    2464   98586      0 967.84ms 873.46ms 756.02ms 642.78ms 572.52ms 389.28ms 421.59ms
    127s    1574   62967      0 964.69ms 957.35ms 845.68ms 762.84ms 699.40ms 584.58ms 556.60ms
    128s    2650  106018      0 927.47ms 888.14ms 778.57ms 667.94ms 595.59ms 348.91ms 398.40ms
    130s    1303   52137      0 1.06s    1.04s    972.55ms 885.52ms 838.86ms 683.67ms 696.14ms
    130s    1645   65826      0 872.42ms 866.65ms 833.62ms 779.09ms 751.30ms 410.78ms 479.06ms
    131s    2617  104711      0 588.25ms 567.28ms 509.08ms 463.73ms 432.01ms 353.63ms 359.09ms
    132s    2903  116145      0 583.01ms 549.45ms 504.10ms 444.07ms 424.15ms 339.74ms 351.11ms
    133s    2916  116667      0 557.84ms 522.72ms 495.71ms 452.72ms 418.64ms 339.74ms 348.90ms
    134s    2854  114183      0 600.31ms 555.22ms 509.35ms 452.20ms 416.81ms 333.19ms 345.89ms
    135s    2987  119488      0 596.12ms 569.38ms 518.78ms 445.12ms 415.50ms 328.99ms 340.97ms
    136s    2643  105756      0 868.22ms 829.95ms 760.74ms 632.29ms 574.10ms 353.89ms 396.42ms
    137s    1766   70659      0 901.25ms 847.77ms 772.28ms 691.01ms 659.03ms 510.13ms 505.11ms
    139s    2322   92905      0 1.14s    1.04s    927.99ms 834.14ms 762.31ms 379.06ms 453.72ms
    140s    1166   46673      0 1.07s    1.06s    1.02s    933.76ms 902.30ms 780.14ms 756.02ms
    140s    1113   44554      0 1.02s    991.95ms 955.25ms 873.46ms 829.42ms 724.04ms 716.06ms
    141s    2658  106336      0 619.18ms 587.73ms 536.87ms 468.19ms 438.57ms 350.75ms 358.28ms
    142s    2786  111452      0 607.65ms 562.04ms 508.82ms 459.28ms 428.61ms 345.51ms 354.67ms
    143s    2878  115141      0 555.22ms 543.16ms 495.71ms 444.07ms 411.30ms 331.35ms 342.53ms
    144s    2168   86748      0 1.06s    1.02s    896.01ms 818.94ms 748.16ms 431.75ms 480.88ms
    146s    1354   54177      0 1.26s    1.20s    1.07s    986.71ms 897.58ms 648.02ms 657.30ms
    147s    1070   42806      0 1.30s    1.27s    1.14s    1.07s    1.04s    801.11ms 829.38ms
    147s    1158   46332      0 1.08s    1.08s    1.06s    909.12ms 865.08ms 643.83ms 659.52ms
    148s    1903   76148      0 933.76ms 889.72ms 742.39ms 670.04ms 646.45ms 495.98ms 513.00ms
    149s    2393   95751      0 682.62ms 598.21ms 549.98ms 514.06ms 472.65ms 355.21ms 374.48ms
    150s    2451   98065      0 782.76ms 726.14ms 659.55ms 558.37ms 524.55ms 400.82ms 408.72ms
    151s    1900   76014      0 991.95ms 991.43ms 801.64ms 728.24ms 700.45ms 544.21ms 533.12ms
    153s    1440   57616      0 1.12s    1.02s    946.86ms 843.58ms 792.20ms 614.99ms 638.36ms
    154s    1123   44920      0 1.15s    1.14s    990.90ms 873.99ms 834.14ms 752.88ms 733.91ms
    155s    1127   45089      0 1.14s    1.09s    1.01s    939.00ms 891.81ms 796.92ms 762.83ms
    156s    1165   46638      0 1.09s    1.09s    1.03s    950.53ms 891.81ms 765.46ms 739.17ms
    156s    1060   42435      0 1.17s    1.13s    1.08s    1.05s    998.77ms 744.49ms 786.66ms
    157s    1746   69856      0 903.87ms 895.48ms 804.78ms 686.29ms 646.97ms 504.63ms 504.94ms
    159s    1777   71110      0 1.09s    1.09s    991.43ms 855.11ms 799.01ms 502.79ms 533.58ms
    159s    1223   48935      0 1.01s    1.01s    933.23ms 845.15ms 811.60ms 721.42ms 718.01ms
    160s    2082   83291      0 701.50ms 674.76ms 636.49ms 581.44ms 532.94ms 364.12ms 387.30ms
    161s    3007  120305      0 691.01ms 675.81ms 531.37ms 463.99ms 426.25ms 332.66ms 347.04ms
    162s    2505  100232      0 734.00ms 712.51ms 626.00ms 543.16ms 495.19ms 389.55ms 397.20ms
    163s    2830  113204      0 607.13ms 541.07ms 498.60ms 451.41ms 415.50ms 335.02ms 346.30ms
    164s    2877  115087      0 862.98ms 825.75ms 668.47ms 523.50ms 473.96ms 341.57ms 367.20ms
    166s    1547   61914      0 1.12s    996.67ms 955.25ms 868.22ms 808.45ms 637.53ms 646.04ms
    167s    1156   46250      0 1.19s    1.18s    981.47ms 887.10ms 868.75ms 775.42ms 730.40ms
    167s    1140   45634      0 1.17s    1.14s    1.04s    972.55ms 947.39ms 750.78ms 764.66ms
    169s    1151   46041      0 1.19s    1.17s    1.05s    987.23ms 919.08ms 765.46ms 743.73ms
    169s    1146   45875      0 1.15s    1.10s    1.00s    974.65ms 949.49ms 724.57ms 696.87ms
    171s    2009   80380      0 1.05s    1.00s    919.08ms 797.44ms 724.57ms 474.22ms 506.04ms
    172s    1122   44883      0 1.25s    1.24s    1.10s    999.82ms 975.18ms 794.82ms 804.99ms
    172s    1200   48039      0 1.00s    1.00s    970.46ms 824.18ms 773.85ms 572.00ms 603.87ms
    174s    1490   59607      0 1.22s    1.16s    1.07s    937.95ms 909.12ms 620.23ms 662.45ms
    175s     914   36578      0 1.26s    1.21s    1.15s    1.10s    1.06s    811.07ms 858.60ms
    176s    1060   42420      0 1.12s    1.09s    1.06s    1.01s    983.56ms 753.40ms 801.73ms
    177s    1214   48587      0 1.14s    1.11s    1.00s    970.98ms 948.44ms 729.28ms 770.61ms
    178s    1058   42323      0 1.18s    1.18s    1.05s    978.85ms 956.83ms 799.01ms 787.71ms
    179s    1153   46131      0 1.19s    1.18s    1.07s    1.00s    979.89ms 745.01ms 772.93ms
    180s     976   39050      0 1.22s    1.17s    1.13s    1.04s    1.00s    781.19ms 817.61ms
