Using Scylla optimized driver!!!
Configuration
Nodes:				18.133.174.82,13.134.144.48,3.9.75.51
Datacenter:			AWS_EU_WEST_2
Mode:				write
Workload:			uniform
Timeout (default):		PT10S
Timeout (read):			PT10S
Timeout (write):		PT5S
Timeout (CAS):			PT2S
Consistency level:		quorum
Partition count:		10000
Clustering rows:		50
Clustering row size:		fixed:4
Rows per request:		40
Page size:			1000
Concurrency:			1200
Connections:			16
Maximum rate:			unlimited
Client compression:		true
Max error/row:			unlimited
Max errors total:		unlimited
Retries (number):		10
Retries (interval):		80ms,1s
Retry handler:			sb
Hdr memory consumption:	434995200 bytes
08:54:56.657 [s0-admin-0] WARN  c.d.o.d.i.c.c.CqlRequestHandler - Query '[0 values] CREATE KEYSPACE IF NOT EXISTS scylla_bench WITH REPLICATION = { 'class':'NetworkTopologyStrategy','replication_factor':1 }' generated server side warning(s): Using Replication Factor replication_factor=1 lower than the minimum_replication_factor_warn_threshold=3 is not recommended.
    time   ops/s  rows/s errors max      99.9th   99th     95th     90th     median   mean    
      2s    1647   65894      0 982.52ms 979.37ms 821.56ms 746.59ms 715.13ms 519.57ms 519.21ms
      3s    2397   95882      0 719.32ms 706.22ms 607.65ms 525.60ms 485.49ms 388.50ms 398.13ms
      4s    1717   68686      0 1.22s    1.10s    996.67ms 901.25ms 845.68ms 523.76ms 577.70ms
      6s    1426   57042      0 894.96ms 889.19ms 794.30ms 736.10ms 692.58ms 484.18ms 512.32ms
      7s    1515   60610      0 1.82s    1.81s    1.67s    1.48s    1.40s    552.08ms 670.47ms
      9s     775   31010      0 1.86s    1.80s    1.49s    1.43s    1.37s    932.71ms 986.54ms
     10s     905   36227      0 1.86s    1.80s    1.58s    1.28s    1.12s    685.77ms 755.84ms
     10s    1278   51122      0 1.07s    1.07s    878.71ms 817.89ms 765.46ms 631.77ms 631.22ms
     10s    1327   53089      0 859.31ms 826.80ms 777.52ms 713.03ms 664.27ms 544.74ms 552.01ms
     11s    2210   88431      0 785.91ms 695.73ms 650.64ms 592.45ms 566.23ms 423.36ms 432.15ms
     13s    1694   67761      0 1.41s    1.33s    1.22s    1.10s    1.02s    534.51ms 619.14ms
     14s     782   31304      0 1.51s    1.47s    1.39s    1.35s    1.30s    1.00s    1.05s   
     15s     813   32528      0 1.41s    1.41s    1.31s    1.18s    1.09s    909.12ms 902.44ms
     15s    1532   61283      0 903.87ms 881.33ms 691.54ms 637.53ms 607.65ms 465.31ms 455.36ms
     16s    2173   86939      0 786.96ms 719.85ms 633.34ms 552.60ms 507.77ms 432.01ms 426.26ms
     17s    2599  103989      0 644.87ms 628.10ms 522.72ms 467.14ms 434.90ms 351.54ms 358.99ms
     18s    2862  114496      0 643.83ms 601.88ms 531.89ms 469.50ms 433.32ms 340.53ms 354.08ms
     19s    2756  110244      0 679.48ms 639.63ms 554.70ms 479.20ms 449.84ms 348.65ms 362.21ms
     20s    2759  110389      0 742.92ms 597.69ms 522.19ms 454.82ms 422.05ms 339.21ms 351.40ms
     22s    1707   68306      0 1.08s    1.06s    943.19ms 853.54ms 784.33ms 619.18ms 614.89ms
     23s    1022   40895      0 1.23s    1.20s    1.10s    1.05s    1.00s    825.75ms 815.89ms
     24s    1008   40357      0 1.26s    1.24s    1.19s    1.14s    1.11s    806.35ms 873.22ms
     24s    1339   53567      0 980.42ms 978.32ms 955.25ms 847.77ms 796.92ms 516.16ms 565.82ms
     25s    2439   97566      0 869.27ms 837.29ms 739.25ms 621.81ms 542.64ms 363.07ms 394.54ms
     26s    1323   52932      0 1.21s    1.20s    1.02s    967.84ms 935.33ms 713.56ms 729.87ms
     28s    1072   42916      0 1.27s    1.26s    1.10s    1.06s    1.01s    775.42ms 800.20ms
     29s     974   38960      0 1.22s    1.15s    1.08s    1.04s    1.00s    808.45ms 818.16ms
     30s     982   39295      0 1.18s    1.18s    1.07s    1.05s    1.02s    865.08ms 837.69ms
     31s    1074   42988      0 1.21s    1.21s    1.10s    986.19ms 968.36ms 810.55ms 781.81ms
     32s     989   39577      0 1.17s    1.16s    1.06s    997.72ms 976.22ms 753.93ms 771.30ms
     32s    1302   52080      0 997.20ms 991.43ms 941.10ms 880.80ms 853.54ms 639.63ms 590.08ms
     33s    2839  113569      0 612.37ms 561.51ms 508.82ms 459.28ms 425.46ms 350.75ms 358.25ms
     34s    2795  111823      0 600.83ms 599.26ms 535.30ms 497.81ms 471.60ms 355.73ms 370.70ms
     35s    2893  115759      0 611.32ms 586.15ms 516.69ms 451.94ms 423.62ms 339.21ms 350.81ms
     36s    2303   92144      0 826.80ms 811.60ms 728.24ms 638.06ms 603.46ms 413.14ms 441.69ms
     37s    2141   85643      0 1.04s    1.01s    885.52ms 752.88ms 688.39ms 394.53ms 443.53ms
     39s    1148   45930      0 1.19s    1.18s    1.09s    981.47ms 941.62ms 785.91ms 779.26ms
     39s    1022   40894      0 1.16s    1.16s    1.07s    1.04s    1.03s    768.08ms 814.26ms
     40s    1823   72953      0 801.11ms 781.19ms 735.05ms 634.39ms 592.45ms 418.64ms 442.48ms
     41s    2909  116391      0 607.13ms 555.75ms 500.43ms 443.55ms 418.64ms 335.28ms 345.90ms
     42s    2790  111617      0 590.87ms 575.67ms 515.11ms 467.93ms 438.83ms 348.65ms 358.96ms
     43s    2795  111802      0 614.47ms 588.78ms 528.22ms 473.69ms 433.85ms 353.63ms 361.50ms
